run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_strategy	library_source	first_public	experiment_title	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
SRR8635825	PRJNA523380	SAMN10987956	SRX5434555	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-NCIH1355_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of NCIH1355_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/005/SRR8635825/SRR8635825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/005/SRR8635825/SRR8635825_2.fastq.gz		NCIH1355_LUNG	NCIH1355_LUNG	
SRR8633836	PRJNA523380	SAMN10988075	SRX5432236	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-NCIH854_LUNG	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of NCIH854_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8633836/SRR8633836.fastq.gz		NCIH854_LUNG	NCIH854_LUNG	
SRR8652047	PRJNA523380	SAMN10987786	SRX5449853	9606	Homo sapiens	Illumina HiSeq 2000	WGS-NCIH1963_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of NCIH1963_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652047/SRR8652047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652047/SRR8652047_2.fastq.gz		NCIH1963_LUNG	NCIH1963_LUNG	
SRR8633839	PRJNA523380	SAMN10987965	SRX5432233	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-SNU1066_UPPER_AERODIGESTIVE_TRACT	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of SNU1066_UPPER_AERODIGESTIVE_TRACT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8633839/SRR8633839.fastq.gz		SNU1066_UPPER_AERODIGESTIVE_TRACT	SNU1066_UPPER_AERODIGESTIVE_TRACT	
SRR8635826	PRJNA523380	SAMN10987606	SRX5434554	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-NCIH1184_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of NCIH1184_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8635826/SRR8635826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8635826/SRR8635826_2.fastq.gz		NCIH1184_LUNG	NCIH1184_LUNG	
SRR8652048	PRJNA523380	SAMN10988154	SRX5449852	9606	Homo sapiens	Illumina HiSeq 2000	WGS-NCIH1930_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of NCIH1930_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652048/SRR8652048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652048/SRR8652048_2.fastq.gz		NCIH1930_LUNG	NCIH1930_LUNG	
SRR8635831	PRJNA523380	SAMN10987995	SRX5434549	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-NCIH1092_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of NCIH1092_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/001/SRR8635831/SRR8635831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/001/SRR8635831/SRR8635831_2.fastq.gz		NCIH1092_LUNG	NCIH1092_LUNG	
SRR8633841	PRJNA523380	SAMN10988456	SRX5432231	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/001/SRR8633841/SRR8633841.fastq.gz		NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8635834	PRJNA523380	SAMN10987718	SRX5434546	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-TM31_CENTRAL_NERVOUS_SYSTEM	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of TM31_CENTRAL_NERVOUS_SYSTEM	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8635834/SRR8635834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8635834/SRR8635834_2.fastq.gz		TM31_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	
SRR8652050	PRJNA523380	SAMN10988259	SRX5449850	9606	Homo sapiens	Illumina HiSeq 2000	WGS-NCIH1975_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of NCIH1975_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652050/SRR8652050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652050/SRR8652050_2.fastq.gz		NCIH1975_LUNG	NCIH1975_LUNG	
SRR8633844	PRJNA523380	SAMN10988576	SRX5432228	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-CAL51_BREAST	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of CAL51_BREAST	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8633844/SRR8633844.fastq.gz		CAL51_BREAST	CAL51_BREAST	
SRR8635837	PRJNA523380	SAMN10987949	SRX5434543	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/007/SRR8635837/SRR8635837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/007/SRR8635837/SRR8635837_2.fastq.gz		HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
